$ jcmd 17696 GC.class_histogram
17696:
 num     #instances         #bytes  class name (module)
 195:             1             24  sun.nio.cs.StandardCharsets (java.base@17.0.1)
 196:             1             24  sun.nio.cs.US_ASCII (java.base@17.0.1)
 197:             1             24  sun.nio.cs.UTF_16 (java.base@17.0.1)
 198:             1             24  sun.nio.cs.UTF_16BE (java.base@17.0.1)
 199:             1             24  sun.nio.cs.UTF_16LE (java.base@17.0.1)
 200:             1             24  sun.nio.cs.UTF_8 (java.base@17.0.1)
 201:             1             24  sun.nio.fs.WindowsFileSystem (java.base@17.0.1)
 202:             1             24  sun.security.util.LazyCodeSourcePermissionCollection (java.base@17.0.1)
 203:             1             24  sun.util.locale.BaseLocale$Cache (java.base@17.0.1)
 204:             1             16  [Ljava.lang.Throwable; (java.base@17.0.1)
 205:             1             16  [Ljava.security.cert.Certificate; (java.base@17.0.1)
 206:             1             16  com.epam.jmp.mat.heap.Process
 207:             1             16  java.io.FileDescriptor$1 (java.base@17.0.1)
 208:             1             16  java.io.RandomAccessFile$2 (java.base@17.0.1)
 209:             1             16  java.lang.CharacterDataLatin1 (java.base@17.0.1)
 210:             1             16  java.lang.Runtime (java.base@17.0.1)
 211:             1             16  java.lang.String$CaseInsensitiveComparator (java.base@17.0.1)
 212:             1             16  java.lang.System$2 (java.base@17.0.1)
 213:             1             16  java.lang.Terminator$1 (java.base@17.0.1)
 214:             1             16  java.lang.invoke.MemberName$Factory (java.base@17.0.1)
 215:             1             16  java.lang.invoke.StringConcatFactory$1 (java.base@17.0.1)
 216:             1             16  java.lang.invoke.StringConcatFactory$2 (java.base@17.0.1)
 217:             1             16  java.lang.invoke.StringConcatFactory$3 (java.base@17.0.1)
 218:             1             16  java.lang.module.ModuleDescriptor$1 (java.base@17.0.1)
 219:             1             16  java.lang.ref.Cleaner (java.base@17.0.1)
 220:             1             16  java.lang.ref.Cleaner$1 (java.base@17.0.1)
 221:             1             16  java.lang.ref.Reference$1 (java.base@17.0.1)
